[2022-04-30 01:05:47,954] [51] 127.0.0.1 requested http://localhost/ [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:48,084] [51] 127.0.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 302
[2022-04-30 01:05:48,407] [51] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:48,447] [51] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:48,871] [51] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:49,099] [51] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:05:49,433] [51] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:05:49,758] [51] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:49,953] [51] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost POST 302
[2022-04-30 01:05:50,004] [51] 127.0.0.1 requested http://localhost/ [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:50,326] [51] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:05:50,521] [51] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost POST 302
[2022-04-30 01:05:50,975] [51] 127.0.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:51,094] [51] 127.0.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 302
[2022-04-30 01:05:51,399] [51] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:51,515] [51] 127.0.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost GET 302
[2022-04-30 01:05:51,833] [51] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:52,350] [51] 127.0.0.1 requested http://localhost/ [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:52,762] [51] 127.0.0.1 requested http://localhost/ [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:53,183] [51] 127.0.0.1 requested http://localhost/ [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:53,637] [51] 127.0.0.1 requested http://localhost/ [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:54,064] [51] 127.0.0.1 requested http://localhost/ [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:54,473] [51] 127.0.0.1 requested http://localhost/about [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:54,904] [51] 127.0.0.1 requested http://localhost/welcome [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:55,323] [51] 127.0.0.1 requested http://localhost/page5 [INFO] in __init__: localhost GET 404
[2022-04-30 01:05:55,652] [51] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:05:55,852] [51] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost POST 302
[2022-04-30 01:05:56,175] [51] 127.0.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost GET 200
[2022-04-30 01:05:56,402] [51] 127.0.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost POST 302
[2022-04-30 01:07:00,499] [53] 127.0.0.1 requested http://localhost/ [INFO] in __init__: localhost GET 200
[2022-04-30 01:07:00,616] [53] 127.0.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 302
[2022-04-30 01:07:00,962] [53] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost GET 200
[2022-04-30 01:07:01,006] [53] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:07:01,448] [53] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost GET 200
[2022-04-30 01:07:01,701] [53] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:07:02,055] [53] 127.0.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:07:02,359] [53] 127.0.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
